2023-08-07 19:20:30.280 [INFO ] [HABApp                              ] - HABApp Version 1.1.2
2023-08-07 19:20:30.322 [INFO ] [HABApp.Config                       ] - Manual thing configuration disabled! Folder /etc/openhab/habapp/config does not exist!
2023-08-07 19:20:30.336 [INFO ] [HABApp.mqtt.connection              ] - Connecting to 192.168.178.37:1883
2023-08-07 19:20:30.347 [INFO ] [HABApp.mqtt.connection              ] - Connection Accepted.
2023-08-07 19:20:30.495 [INFO ] [HABApp.openhab.connection           ] - Connected to OpenHAB version 3.4.4 (Release Build)
2023-08-07 19:20:31.225 [WARN ] [HABApp.openhab.items                ] - Item HeizungKlavier_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.226 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours18_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.226 [WARN ] [HABApp.openhab.items                ] - Item HeizungMika_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.227 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Current_Windspeed is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.229 [WARN ] [HABApp.openhab.items                ] - Item HeizungKlavier_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.229 [WARN ] [HABApp.openhab.items                ] - Item HeizungSchlafzimmer_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.229 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Current_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.230 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_GefuehlteTemperatur is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.232 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderBuero_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.233 [WARN ] [HABApp.openhab.items                ] - Item TempSensorErkerWeg_ChargeLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.233 [WARN ] [HABApp.openhab.items                ] - Item HeizungBad_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.234 [WARN ] [HABApp.openhab.items                ] - Item Sonnendaten_DiffuseStrahlung is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.234 [WARN ] [HABApp.openhab.items                ] - Item HeizungSara_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.234 [WARN ] [HABApp.openhab.items                ] - Item FernbedienungTerrasse_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.235 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatKueche_SetPointTemperature is a UoM item but "unit" is not found in item metadata
