[2023-08-07 19:20:36,302] [                     Mqtt]     INFO | Zigbee2Mqtt_PermitJoin state: None
[2023-08-07 19:20:36,302] [                     Mqtt]     INFO | Zigbee2Mqtt_PermitJoin_Timeout state: None
[2023-08-07 19:20:36,318] [                     Mqtt]     INFO | register listener for BewegungsmelderBuero_TriggerUpdate item # 0
[2023-08-07 19:20:36,326] [                     Mqtt]     INFO | register listener for BewegungsmelderGaestezimmer_TriggerUpdate item # 1
[2023-08-07 19:20:36,336] [                     Mqtt]     INFO | register listener for BewegungsmelderAbstellraum_TriggerUpdate item # 2
[2023-08-07 19:20:36,344] [                     Mqtt]     INFO | register listener for BewegungsmelderWerkstatt_TriggerUpdate item # 3
[2023-08-07 19:20:36,353] [                     Mqtt]     INFO | register listener for BewegungsmelderGastWC_TriggerUpdate item # 4
[2023-08-07 19:20:36,362] [                     Mqtt]     INFO | register listener for LichtTerrasse_Pergola_Rechts_TriggerUpdate item # 5
[2023-08-07 19:20:36,371] [                     Mqtt]     INFO | register listener for LichtTerrasse_Pergola_Links_TriggerUpdate item # 6
[2023-08-07 19:20:36,379] [                     Mqtt]     INFO | register listener for LichtBuero_Lampe_TriggerUpdate item # 7
[2023-08-07 19:20:36,388] [                     Mqtt]     INFO | register listener for LichtTerrasse_Pergola_Alle_TriggerUpdate item # 8
[2023-08-07 19:20:36,397] [                     Mqtt]     INFO | register listener for FernbedienungSchlafzimmer_TriggerUpdate item # 9
[2023-08-07 19:20:36,406] [                     Mqtt]     INFO | register listener for FernbedienungTerrasse_TriggerUpdate item # 10
[2023-08-07 19:20:36,406] [                     Mqtt]     INFO | rule Zigbee2Mqtt_Bridge started
[2023-08-07 19:20:46,647] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 19:30:46,320] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 19:40:46,332] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 19:50:46,334] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:00:46,334] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:10:46,334] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:20:46,334] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:30:46,333] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:40:46,330] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 20:50:46,330] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 21:00:46,332] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
[2023-08-07 21:10:46,331] [                     Mqtt]     INFO | mqtt topic zigbee2mqtt/bridge/response/health_check updated to {'data': {'healthy': True}, 'status': 'ok'} (type = <class 'HABApp.mqtt.events.mqtt_events.MqttValueUpdateEvent'>)
